主題(fine),91,光電業,其他,其他電子業,化學工業,半導體業,塑膠工業,居家生活,建材營造,數位雲端,文化創意業,橡膠工業,水泥工業,汽車工業,油電燃氣業,玻璃陶瓷,生技醫療業,紡織纖維,綠能環保,航運業,觀光餐旅,貿易百貨,資訊服務業,農業科技業,通信網路業,造紙工業,運動休閒,金融保險,鋼鐵工業,電器電纜,電子通路業,電子零組件業,電機機械,電腦及週邊設備業,食品工業,總計
電子科技月收詳析,0,40,27,37,11,113,7,1,24,12,6,2,1,21,9,2,34,11,24,14,14,2,12,0,44,1,7,6,3,6,16,71,34,47,5,664
AI液冷記憶體個股,0,41,3,33,3,158,1,0,0,12,0,0,0,11,0,1,10,0,1,4,0,0,25,0,44,0,3,0,6,2,18,60,18,79,2,535
電子短線停損操作,0,27,20,22,12,45,5,1,19,4,4,4,0,5,2,3,17,14,1,4,6,3,6,2,21,0,7,8,11,5,8,69,14,39,6,414
現金股利配發決議,0,14,26,7,10,25,7,12,42,10,4,6,3,4,6,2,19,12,2,12,11,9,6,1,9,3,6,40,9,15,13,27,19,13,6,410
科技月收增減公告,0,29,17,16,8,75,0,8,12,6,4,0,2,10,0,0,14,5,7,6,8,2,12,0,30,2,11,2,3,3,11,46,18,31,1,399
轉投資取得處分,0,54,13,7,5,22,17,1,24,1,5,5,5,4,0,0,36,22,6,22,11,3,10,0,10,0,2,3,4,2,7,28,13,15,4,361
AI連結器外資動向,0,56,0,23,2,58,1,0,14,1,13,0,0,3,0,1,5,2,10,2,1,0,4,0,28,1,5,0,9,4,6,46,9,36,0,340
生技新藥臨床試驗,6,3,18,8,10,2,5,0,0,6,0,8,1,1,0,0,242,1,0,0,2,0,1,8,3,0,3,0,2,0,0,1,2,2,3,338
月收TWSE原始格式,0,17,24,17,7,28,2,12,19,7,8,2,2,6,0,1,16,1,0,4,6,0,2,0,18,0,7,4,10,2,18,37,27,20,5,329
年度EPS股利明細,0,14,26,13,11,20,4,6,23,9,6,1,4,6,3,1,11,6,6,8,15,2,7,2,12,0,3,11,5,2,3,14,8,21,10,293
注意交易揭露標準,0,34,13,13,10,37,0,0,6,1,1,0,0,8,0,2,4,2,6,7,1,1,4,0,16,2,3,1,6,2,6,47,27,24,2,286
第四季財報揭露,0,16,10,10,6,32,3,11,10,7,5,0,1,5,3,2,14,6,8,9,9,6,4,0,10,4,5,7,8,3,3,26,13,23,5,284
論壇水桶公告,0,14,17,10,3,8,3,3,12,8,2,3,4,5,3,0,46,7,12,0,9,2,7,1,14,0,4,7,6,1,3,39,11,7,10,281
高殖利率存股選股,0,17,15,10,10,26,5,20,15,6,3,0,1,5,0,0,22,5,1,1,3,4,6,2,4,0,8,11,2,3,7,24,15,24,0,275
技術面籌碼分析法,0,23,7,8,5,53,2,0,2,1,3,1,1,4,3,0,22,11,0,1,3,2,1,0,27,0,5,0,4,6,6,38,8,25,0,272
月收YOY月增討論,0,10,9,23,2,40,2,0,12,3,2,1,0,5,0,3,22,4,4,14,3,2,4,0,11,0,0,0,2,3,8,40,13,25,2,269
法說月自結損益,0,17,11,20,5,45,1,1,4,7,16,0,0,0,0,0,8,3,5,6,12,1,9,0,20,0,1,2,2,1,10,30,10,19,1,267
季合併財報公告,0,10,11,19,6,43,2,11,15,2,2,0,3,7,1,0,15,13,0,5,4,4,5,1,14,0,7,1,4,5,4,25,13,5,7,264
散戶短線買賣閒聊,2,23,8,8,8,33,7,3,5,3,4,3,0,2,0,1,19,6,6,4,3,6,5,3,7,1,8,2,8,1,5,30,11,26,2,263
當日進場停利問答,1,39,3,5,5,50,2,0,3,1,11,0,0,5,0,11,4,2,0,1,1,0,3,0,13,0,5,0,6,9,8,27,4,21,0,240
低軌衛星航太概念,4,3,18,5,8,9,10,14,7,6,4,1,0,3,0,1,6,10,4,2,1,0,4,0,6,0,23,0,10,1,3,23,34,5,2,227
金控合併自結盈餘,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,194,5,0,0,1,1,0,5,226
台積電個股討論,0,9,6,20,8,36,5,0,4,2,1,1,0,4,3,3,6,6,0,2,3,1,4,0,10,2,3,6,0,4,4,45,13,10,2,223
配合司法搜索公告,0,14,5,7,5,16,7,2,13,3,3,0,5,7,3,1,11,9,11,3,10,2,4,0,6,1,8,9,8,0,3,15,18,4,1,214
季報EPS損益公告,0,11,6,19,3,23,3,8,10,3,2,3,0,7,0,0,12,1,1,7,6,1,4,1,5,0,5,12,4,3,2,27,8,16,1,214
版規格式混雜文章,2,21,6,4,14,38,10,1,5,4,2,0,0,3,4,2,9,3,0,9,1,3,3,0,6,3,1,1,5,5,1,24,4,13,3,210
車用充電太陽能,1,11,6,40,12,17,1,2,2,0,0,0,0,6,5,1,1,0,15,0,0,0,3,0,5,0,1,0,3,8,1,54,12,2,1,210
中小型月收觀測站,0,4,9,12,2,13,2,3,10,2,2,1,1,5,0,0,16,2,2,1,9,1,17,0,10,4,5,5,13,2,9,23,5,16,1,207
運動器材航運選股,3,0,22,4,6,2,3,0,7,2,0,2,0,7,0,0,28,24,13,0,32,1,1,1,1,18,13,2,1,0,0,1,2,3,7,206
PCB電路板選股,0,14,4,17,3,23,1,0,0,2,0,0,0,0,0,0,6,0,1,0,0,0,4,0,23,0,0,0,1,2,3,57,10,25,0,196
技術籌碼突破追蹤,1,25,4,12,0,38,0,0,1,1,2,0,0,7,0,0,3,3,0,0,0,1,15,0,11,0,0,0,1,3,1,29,12,18,1,189
KY廠財報澄清,0,5,5,11,8,27,1,5,5,2,0,1,0,11,1,1,8,5,3,1,12,2,2,1,6,3,2,2,5,2,3,20,17,10,1,188
台股大盤宏觀分析,0,3,5,1,3,8,3,0,3,1,0,7,1,1,0,0,14,11,3,3,4,2,0,2,6,2,1,0,66,3,1,8,11,3,2,178
AI科技月收年增,0,18,0,5,1,50,0,0,0,3,0,0,0,6,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,4,2,31,1,17,1,156
月份自結損益公告,0,8,11,5,2,11,2,3,3,5,5,0,1,3,1,1,9,1,4,3,6,2,3,0,5,4,0,10,7,1,5,12,6,12,1,152
版規違規處份警告,16,4,20,8,2,10,5,0,2,4,2,0,0,3,1,0,24,2,0,4,6,1,2,0,2,1,3,1,1,0,9,12,0,4,1,150
新股申購抽籤日程,0,6,11,9,4,15,0,6,9,4,4,0,0,4,0,0,17,3,7,6,7,0,2,0,3,0,6,1,3,1,0,11,3,7,1,150
現金增資認股公告,0,10,15,5,1,12,1,6,7,2,3,1,0,0,1,0,16,1,3,5,7,2,4,0,8,0,3,9,1,2,0,10,4,6,2,147
建材營造個股分析,0,0,4,0,5,0,2,0,100,0,1,6,0,0,0,1,3,9,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,3,1,145
中小型特殊概念股,0,11,1,5,5,9,1,1,1,3,12,0,0,1,0,0,8,6,0,9,4,7,3,0,15,0,1,4,3,0,0,8,21,3,0,142
大股東股利轉讓,0,4,11,9,5,13,2,3,7,0,2,1,1,1,0,1,4,2,1,4,8,2,2,0,5,1,5,7,2,0,5,11,5,5,1,130
汽車電機傳產個股,0,3,8,10,1,5,1,1,9,3,0,0,0,24,0,1,2,1,9,0,1,1,0,0,4,0,0,0,1,0,1,12,16,14,1,129
注意股月度EPS,0,3,6,9,1,19,3,0,5,1,3,0,0,4,0,0,4,1,0,7,1,0,3,0,7,2,1,0,4,0,3,16,7,15,2,127
審計委員財報通過,0,3,6,7,0,17,4,5,2,0,1,0,1,4,0,0,6,8,1,5,0,4,1,0,2,1,2,0,1,1,5,11,10,17,2,127
融資融券籌碼日報,0,4,2,17,11,17,1,1,3,2,0,1,0,2,0,0,15,7,2,0,0,0,2,0,6,0,0,0,0,0,2,15,3,11,0,124
台積電晶片供應鏈,0,0,1,1,1,12,0,0,2,0,1,0,0,2,0,0,1,9,2,0,1,0,1,0,1,0,1,1,58,0,0,1,4,3,3,106
餐飲消費品牌個股,0,0,0,0,2,0,0,15,0,0,2,0,0,1,0,0,5,0,0,0,47,7,0,0,1,0,0,0,1,0,1,0,4,2,17,105
鋼鐵石化景氣循環,0,0,2,1,3,2,19,0,1,0,0,16,2,0,4,1,0,1,4,0,0,1,0,0,1,0,0,0,41,0,1,0,1,0,1,102
重大訊息待公布,1,0,4,1,2,12,1,2,1,4,1,0,2,1,0,0,20,1,4,1,7,2,3,0,1,0,0,5,5,0,1,5,5,1,2,95
外資買超違約交割,0,0,0,2,0,0,1,1,0,0,0,1,22,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,60,94
航運貨櫃個股操作,0,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,72,0,1,0,0,0,0,0,0,0,0,0,2,9,0,0,90
季財報稅前淨利,0,2,2,2,1,28,0,0,0,1,1,0,0,0,0,0,6,0,2,3,0,1,4,0,5,0,2,0,1,0,3,10,5,6,0,85
大盤雜訊短評,0,6,2,1,2,6,1,0,1,2,1,3,0,1,0,0,2,4,5,6,1,1,3,0,2,0,0,1,7,1,0,7,3,7,0,76
月度稅後損益公告,0,2,1,5,0,14,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,6,0,5,0,2,1,4,0,1,8,2,13,0,71
ETF配息指數閒聊,0,2,9,1,0,9,1,0,0,1,0,0,0,0,0,0,5,1,0,2,0,1,0,0,3,0,3,2,4,0,1,6,0,0,0,51
貨櫃散裝運費指數,0,3,0,4,2,0,0,4,3,0,0,0,2,1,0,0,9,0,1,2,1,0,1,0,2,0,0,0,1,0,0,6,3,3,2,50
股東會紀念品公告,0,1,1,1,0,5,0,1,1,0,0,0,0,2,1,0,7,0,1,2,5,1,0,0,0,1,1,2,1,0,0,3,2,2,1,42
除權息基準日公告,0,0,0,0,3,1,0,0,5,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,6,0,1,1,6,1,4,1,35
個股漲跌排行日報,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23
電子通路月收公告,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,18
